Maximize Sum Of Array After K Negations,https://leetcode.com/problems/maximize-sum-of-array-after-k-negations,"Array, Greedy, Sorting",LeetCode
The Number of Passengers in Each Bus I,https://leetcode.com/problems/the-number-of-passengers-in-each-bus-i,Database,LeetCode
Game of Nim,https://leetcode.com/problems/game-of-nim,"Array, Bit Manipulation, Brainteaser, Dynamic Programming, Game Theory, Math",LeetCode
1838B Restore Cube,https://codeforces.com/problemset/problem/464/B,"brute force,geometry",Codeforces
Candy Crush,https://leetcode.com/problems/candy-crush,"Array, Matrix, Simulation, Two Pointers",LeetCode
Global and Local Inversions,https://leetcode.com/problems/global-and-local-inversions,"Array, Math",LeetCode
Longest Substring with At Most Two Distinct Characters,https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters,"Hash Table, Sliding Window, String",LeetCode
1833E Guess The String,https://codeforces.com/problemset/problem/1697/D,"binary search,constructive algorithms,interactive",Codeforces
1839A Diverse Segments,https://codeforces.com/problemset/problem/1684/F,"data structures,two pointers",Codeforces
1833C Round Corridor,https://codeforces.com/problemset/problem/1200/C,"math,number theory",Codeforces
Shortest Way to Form String,https://leetcode.com/problems/shortest-way-to-form-string,"Greedy, String, Two Pointers",LeetCode
1832B Maximum Crossings (Hard Version),https://codeforces.com/problemset/problem/1676/H2,"data structures,divide and conquer,sortings",Codeforces
1840A Sum of Digits,https://codeforces.com/problemset/problem/102/B,implementation,Codeforces
1832E Recursive Queries,https://codeforces.com/problemset/problem/1117/G,data structures,Codeforces
1827F The Last Hole!,https://codeforces.com/problemset/problem/274/C,"brute force,geometry",Codeforces
Detect Capital,https://leetcode.com/problems/detect-capital,String,LeetCode
1839B Multipliers,https://codeforces.com/problemset/problem/615/D,"math,number theory",Codeforces
1839E Ela Goes Hiking,https://codeforces.com/problemset/problem/1737/E,"combinatorics,dp,math,probabilities",Codeforces
1827C Array,https://codeforces.com/problemset/problem/224/B,"bitmasks,implementation,two pointers",Codeforces
1838A Lunar New Year and Food Ordering,https://codeforces.com/problemset/problem/1106/B,"data structures,implementation",Codeforces
Dota2 Senate,https://leetcode.com/problems/dota2-senate,"Greedy, Queue, String",LeetCode
1837A Tavas in Kansas,https://codeforces.com/problemset/problem/536/D,"dp,games",Codeforces
1837B Number of Parallelograms,https://codeforces.com/problemset/problem/660/D,geometry,Codeforces
1840D Mike and Cellphone,https://codeforces.com/problemset/problem/689/A,"brute force,constructive algorithms,implementation",Codeforces
1826D Merge it!,https://codeforces.com/problemset/problem/1176/B,math,Codeforces
1843B Serval and Toy Bricks,https://codeforces.com/problemset/problem/1153/B,"constructive algorithms,greedy",Codeforces
1835B k-Factorization,https://codeforces.com/problemset/problem/797/A,"implementation,math,number theory",Codeforces
1836B Puzzle Pieces,https://codeforces.com/problemset/problem/1345/A,math,Codeforces
1834D Cards and Joy,https://codeforces.com/problemset/problem/999/F,dp,Codeforces
1834D Gifts by the List,https://codeforces.com/problemset/problem/681/D,"constructive algorithms,dfs and similar,graphs,trees",Codeforces
Least Operators to Express Number,https://leetcode.com/problems/least-operators-to-express-number,"Dynamic Programming, Math, Memoization",LeetCode
1838F Swap and Take,https://codeforces.com/problemset/problem/1736/E,"dp,greedy",Codeforces
1841C Balanced Bitstring,https://codeforces.com/problemset/problem/1404/A,"implementation,strings",Codeforces
1832B Uniformly Branched Trees,https://codeforces.com/problemset/problem/724/F,"combinatorics,dp,trees",Codeforces
1829H Vladik and Entertaining Flags,https://codeforces.com/problemset/problem/811/E,"data structures,dsu,graphs",Codeforces
1833D Different variables,https://codeforces.com/problemset/problem/530/I,*special problem,Codeforces
Widest Pair of Indices With Equal Range Sum,https://leetcode.com/problems/widest-pair-of-indices-with-equal-range-sum,"Array, Hash Table, Prefix Sum",LeetCode
Number of Adjacent Elements With the Same Color,https://leetcode.com/problems/number-of-adjacent-elements-with-the-same-color,Array,LeetCode
Triples with Bitwise AND Equal To Zero,https://leetcode.com/problems/triples-with-bitwise-and-equal-to-zero,"Array, Bit Manipulation, Hash Table",LeetCode
1837E Minimizing Difference,https://codeforces.com/problemset/problem/1244/E,"binary search,constructive algorithms,greedy,sortings,ternary search,two pointers",Codeforces
1840G2 Tree with Small Distances,https://codeforces.com/problemset/problem/1029/E,"dp,graphs,greedy",Codeforces
1841C A Trance of Nightfall,https://codeforces.com/problemset/problem/989/E,"dp,geometry,matrices,probabilities",Codeforces
Symmetric Tree,https://leetcode.com/problems/symmetric-tree,"Binary Tree, Breadth-First Search, Depth-First Search, Tree",LeetCode
1837D Pyramids,https://codeforces.com/problemset/problem/630/Q,"geometry,math",Codeforces
1829D IQ Test,https://codeforces.com/problemset/problem/328/A,implementation,Codeforces
1840D Points and Powers of Two,https://codeforces.com/problemset/problem/988/D,"brute force,math",Codeforces
1838A Multihedgehog,https://codeforces.com/problemset/problem/1067/B,"dfs and similar,graphs,shortest paths",Codeforces
